codigo_interno,codigo_fornecedor,categoria,marca,descricao,genero,preco_custo,preco_venda,qtd_variantes,estoque_total
CM016,CAC886,CAMISA,TEXAS FARM,MANGA CURTA,MASCULINO,125.31,275.0,1,1
CM017,CAC860,CAMISA,TEXAS FARM,MANGA CURTA,MASCULINO,125.31,275.0,1,1
CM018,CAC822,CAMISA,TEXAS FARM,MANGA CURTA,MASCULINO,125.31,275.0,1,1
CM019,CAC855,CAMISA,TEXAS FARM,MANGA CURTA,MASCULINO,125.31,275.0,1,1
CM020,CAC861,CAMISA,TEXAS FARM,MANGA CURTA,MASCULINO,125.31,275.0,1,1
CM021,CAC895,CAMISA,TEXAS FARM,MANGA CURTA,MASCULINO,125.31,275.0,1,1
CM022,CAC896,CAMISA,TEXAS FARM,MANGA CURTA,MASCULINO,125.31,275.0,1,1
CM023,CAL598,CAMISA,TEXAS FARM,MANGA LONGA,MASCULINO,133.85,295.0,1,1
SHORT002,BDS022,SHORT,TEXAS FARM,TACTEL,MASCULINO,66.41,147.0,5,5
SHORT003,BDS022,SHORT,TEXAS FARM,TACTEL,MASCULINO,66.41,147.0,5,5
SHORT004,BDS021,SHORT,TEXAS FARM,TACTEL,MASCULINO,66.41,147.0,2,2
SHORT005,BDS023,SHORT,TEXAS FARM,TACTEL,MASCULINO,66.41,147.0,2,2
SHORT006,BDS022,SHORT,TEXAS FARM,TACTEL,MASCULINO,66.41,147.0,2,2
BODY001,BP002,BODY,TEXAS FARM,POLIAMIDA,FEMININO,70.2,155.0,3,3
BODY002,BP002,BODY,TEXAS FARM,POLIAMIDA,FEMININO,70.2,155.0,1,1
