codigo_barras,codigo_interno,nome_produto,categoria,cor,tamanho,quantidade_atual,preco_custo,preco_venda
CAL067-AZU-46.0,CAL067,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,AZUL,46.0,1,120.56,265.25
CAL060-AZU-52.0,CAL060,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,AZUL,52.0,1,120.56,265.00
CAL033-AZU-44.0,CAL033,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,AZUL CLARO,44.0,1,120.56,265.25
CAL003-AZU-46.0,CAL003,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,AZUL CLARO,46.0,1,120.56,265.25
CAL003-AZU-48.0,CAL003,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,AZUL CLARO,48.0,1,120.56,265.25
CAL004-AZU-46.0,CAL004,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,AZUL ESCURO,46.0,1,120.56,265.25
CAL002-AZU-46.0,CAL002,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,AZUL ESCURO,46.0,1,123.41,270.50
CAL004-AZU-48.0,CAL004,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,AZUL ESCURO,48.0,1,120.56,265.25
CAL002-AZU-48.0,CAL002,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,AZUL ESCURO,48.0,1,123.41,270.50
CAL034-AZU-44.0,CAL034,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,AZUL ESCURO/LARANJA NEON,44.0,1,135.75,298.65
CAL005-AZU-46.0,CAL005,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,AZUL ESCURO/LARANJA NEON,46.0,1,135.75,298.65
CAL075-JEA-42.0,CAL075,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,JEANS,42.0,1,100.00,250.00
CAL028-AZU-40.0,CAL028,CALCA TXC DETALHES VERDE BOLSO (MASCULINO),CALCA,AZUL,40.0,1,90.00,198.00
CAL027-AZU-44.0,CAL027,CALCA TXC DETALHES VERDE BOLSO (MASCULINO),CALCA,AZUL,44.0,1,90.00,198.00
CAL024,CAL024,CALCA WRANGLER JEANS 20X MASC,CALCA,ESCURA,44,2,0.00,327.60
CAL016-AZU-40.0,CAL016,CALCA WRANGLER COWBOY CUT (MASCULINA),CALCA,AZUL ESCURA,40.0,1,148.90,327.58
CAL017-AZU-42.0,CAL017,CALCA WRANGLER COWBOY CUT (MASCULINA),CALCA,AZUL ESCURA,42.0,1,148.90,327.58
CAL018-AZU-44.0,CAL018,CALCA WRANGLER COWBOY CUT (MASCULINA),CALCA,AZUL ESCURA,44.0,0,148.90,327.58
CAL019-AZU-46.0,CAL019,CALCA WRANGLER COWBOY CUT (MASCULINA),CALCA,AZUL ESCURA,46.0,1,148.90,327.58
CAL020-AZU-48.0,CAL020,CALCA WRANGLER COWBOY CUT (MASCULINA),CALCA,AZUL ESCURA,48.0,1,148.90,327.58
CAL013-AZU-38.0,CAL013,CALCA WRANGLER COWBOY CUT (MASCULINA),CALCA,AZUL MEDIO,38.0,0,159.90,351.78
CAL014-AZU-40.0,CAL014,CALCA WRANGLER COWBOY CUT (MASCULINA),CALCA,AZUL MEDIO,40.0,1,159.90,351.78
CAL015-AZU-42.0,CAL015,CALCA WRANGLER COWBOY CUT (MASCULINA),CALCA,AZUL MEDIO,42.0,0,159.90,351.78
CAL011-AZU-44.0,CAL011,CALCA WRANGLER COWBOY CUT (MASCULINA),CALCA,AZUL MEDIO,44.0,1,159.90,351.78
CAL012-AZU-46.0,CAL012,CALCA WRANGLER COWBOY CUT (MASCULINA),CALCA,AZUL MEDIO,46.0,1,159.90,351.78
CAL010-AZU-48.0,CAL010,CALCA WRANGLER COWBOY CUT (MASCULINA),CALCA,AZUL MEDIO,48.0,1,159.90,351.78
CAL072-AZU-46.0,CAL072,CALCA WRANGLER COWBOY CUT (MASCULINO),CALCA,AZUL ESCURO,46.0,1,159.90,351.78
CAL085,CAL085,CALCA WRANGLER COWBOY CUT MASC TAM 40,CALCA,AZUL MEDIO,40,0,159.90,351.78
CAL91-JEA-38.0,CAL91,CALCA WRANGLER JEANS (FEMININA),CALCA,JEANS,38.0,1,154.90,340.80
CAL89-JEA-40.0,CAL89,CALCA WRANGLER JEANS (FEMININA),CALCA,JEANS,40.0,1,154.90,340.80
CAL92-JEA-42.0,CAL92,CALCA WRANGLER JEANS (FEMININA),CALCA,JEANS,42.0,1,154.90,340.80
CAL94-JEA-42.0,CAL94,CALCA WRANGLER JEANS (FEMININA),CALCA,JEANS,42.0,0,159.90,351.78
CAL90-JEA-44.0,CAL90,CALCA WRANGLER JEANS (FEMININA),CALCA,JEANS,44.0,1,154.90,340.80
CAL95-JEA-46.0,CAL95,CALCA WRANGLER JEANS (FEMININA),CALCA,JEANS,46.0,1,164.90,362.80
CAL93-JEA,CAL93,CALCA WRANGLER JEANS (FEMININA),CALCA,JEANS,,1,154.90,340.80
CAL084-JEA-38.0,CAL084,CALCA WRANGLER JEANS (MASCULINO),CALCA,JEANS,38.0,1,159.90,351.78
CAL87-JEA-40.0,CAL87,CALCA WRANGLER JEANS (MASCULINO),CALCA,JEANS,40.0,1,149.90,318.78
